"username","komentar"
"rakarachelembull","Hoax kgk dah kalo wnbut lagi😂"
"nya_i2024","nenek gw idup d jakarta uda dr taun 1969..gw d kalbar,klo gw tnya gub mana yg bagus dia cm jawab: SAMA AJA TAPI AHOK JAUH LEBIH BAGUS DRI AMIS 🤣🤣"
"krisnapdwa","masih ada yang milih heru 😹"
"mohamadarifin36","Siapapun gubernurnya yg penting bukan produk Mahkamah adik"
"rawrrn._","Ahok nomor 1🔥🔥🔥"
"indranovoselicblues59","mulai😂"
"fellanug","Anies mgkn maunyacjadi gubernur IKN krn anies kan levelnya ibukota negara. Y udah jkt Ahok aja yg mimpin"
"affan.amiruddin","Kaesang bisa menang kan ada bapak sama kakak sama MA, MK dll 😂. Bansos jalan, polisi bergerak, TNI bergerak. Nothing semua 🤣"
"erisrofiani","Ahokk"
"udinmandorr01","Anis bikin patung bambu buang2 duit,"
"tonung26","kalau sampe anies ahok bersatu bakalan jadi duo maut sampe ke presiden wakil presiden gak bakal ada lawan 🔥"
"azwarwirman","Lah itu tukang pisang kok cuma 1%...."
"marcianasetijawati","Coba respondennya partai kembang semua. Dijamin ketumnya elek-nya 100% 😂"
"agusprast1212","Si bocil surveynya cuma 1% tapi kalau nyalon pasti menang deh"
"istiana_7","Ridwan Kamil aja"
"arifsetiadi_14","Anies terbaik"
"ketctard","Anies - Ahok udah paling bener"
"hilda.halda","Pak Anis & bu Sri Mulyani aja gimana???"
"arifin_estrada","Pasti ahoz lah"
"arifin_estrada","Ahok❤️"
"sugik_0807","mantep abah"
"ikhamdan_","Orang yg dukung anis pasti dari keluarga atau orang asn karna takut sama kepemimpinan ahok🔥"
"tirosandi","yg penting kn seiman"
"murjimanto_assakha","Ud kasih ahok lah...warga bawah pasti merasakan dampak.baiknya"
"rianaditiia","Ahokk lgi"
"bagas_naufalw","3 hebat pak anies, pak ahok dan pak ridwan kamil"
"putunembahpairin","Heru Budi ko ada"
"triadi52","Tetap setia bersama pak anies 🔥🔥🔥"
"viequinnn","Semoga Bpk anies terpilih lagi karena Nasib kampung bayam ada ditangan next gubernur berikutnya 😢  🔥  🔥"
"suherliarmaya","Sang Pangeran yg digadang2 punya elektabilitas tinggi nyatanya cm 1%??? 🤣🤣🤣"
"yunan_iskandar","Si heru budi 1%, bukan katanya survey rakyat Jakarta puas sama heru budi 😂"
"andz.96","Kalo gw sih malu HBS nyapres gk kepilih trus nyagub lagi..😅"
"muh_turi","Anis vs ahok bakal turun nie imam mahdi dan malaikat jibril dan nenek tarwiyah jilid 2😂😂😂"
"herman_efendi47","Anis go"
"desilestariri","Tetap pak ahok ❤️"
"elhaqiem31","Biar hemat biaya, uda Anies-Ahok aja, biar jakarta adem temtram ayem akur"
"ardi.chemistry","Pak Anies & Bu Sri Mulyani"
"prassekoprasetyo","syahroni ga ada ya🤣🤣🤣🤣🤣🤣"
"tigabels6","Pilih aja yg gak terpilih di situ 🤣😂😂😍🔥"
"tigabels6","Yg jelas jangan lagi pilih anies apalagi ahok 🔥"
"halimah_lim20","Gubernur pak Ahok,wakil pak Anis,kayanya mantap tuh"
"salutmartua","Pasti menang Kang Emil neh 💯%"
"kholiddido","Cant find any PKS member yet, there is something wrong with this party. They win jakarta but cant pop up even a person yet.  Tapi bisa jadi ini menggambarkan seberapa kuat grass root nya dijakarta sih. Goks"
"prab_har","400 responden? mbok biasanya 1200an kan? kok ini cuman 400?"
"dendy_ermawan","N44pp!!!"
"dermawan.iwan","Babah.... Siapin yg banyak"
"juhendri5834","Anies l"
"kambing.jantan.etawa","Hoax ini, harusnya kesang 78 persen😂 bahkan bisa 14000 triliun perseb"
"_penuntutsurga","Yang 1% nanti berubah jadi 58% 👏 sim salabim jadi apa prok prok prok"
"zenidahlan","Pasti si doi yg menang🤣"
