"username","komentar"
"joenopoenya","Ahok sajalah.. dari pada turunan JKW yg plonga plongo"
"ferryfhonska","Njir yg paling bawah😂"
"nico_prasetyo_","Salah total itu surveynya...harusnya kaesang 58%"
"bintang.1190","Yg milih pisang masi aja ada 1% siapa 😂"
"tyastyas91","Biasane kalo berita ginian RT 58 baru pada kelihatan"
"agussryn24","Ini salah nih harusnya Kaesang 110%😂"
"janisbetmen99","Kokoh!🔥🔥🔥"
"alfredosrg_","Pak BTP🙌"
"rifkyriyadioffcial98","GASS RIDWAN -AHOK 2024 MENANG SATU PUTARAN 🔥🔥"
"boygesbadboy","Ahok dong"
"roffly24","lebih mundur lagi demokrasi Indonesia krn buat apa Parpol ada kader dan Anggota lalu malah parpol calonkan bukan kader dan anggotanya artinya buat kader dan anggota sbnrnya diapakan ama parpolnya sendiri? bahwa ternyata kegagalan parpol sendiri tidak bisa menghasilkan Pemimpin. klo begitu nda usah ada paprol ajah kan"
"bang__agil","Kaesang cocoknya jadi Gubernur VOC 🙌"
"jacobarthur15","Berandai2 saja inimah, Pak Anies & Pak Ahok, walaupun mustahil tapi bakal keren banget kalo mereka berduet🔥🔥"
"tiara_jk","Kok beda sama surveynya Qodari??...."
"nezaplus","ANAK INGUSAN YANG DISULAP  HANYA 1 PERSEN"
"putitinyourheart","Gak aneh klo pak anies tertinggi wong grass roots nya dibawah udah pada bergerak apalagi semenjak kebijakan herbud nyusahin"
"govizar_hermazi","Dharma Pongrekun DKI 1 🔥🌟"
"ikhwalputra2","Lho.. Ini benar surveinya?!?, koq si anak ada di bawah?"
"atens13","Yang bisa dekat dengan semua kalangan, atas bawah ulama tokoh sepertinya yang pas siapa yaa"
"rianngh","Yg 1% yang menang 😂😂😂"
"julian_prahasta","Kabahh siap menggoncang dki 😂😂😂"
"andhika.ap","Pangarep 😂"
"pa3s2.5","Paling tar lagi Kaesang nyalip 😂"
"muh.sofwan_hadi","Anak RAJA KONOHA 1%😂😂😂"
"pantaiselatanloft2","Ada yg milih kaesang?😂😂😂"
"jowo.guyon_","Kalo ada kaesang pasti diurutan pertama ni"
"yongki4595","Haji Bolot & bang Malih"
"andry.julius","widihh"
